2024/01/03 22:52:25 epoch: 1, lr: 0.000500, loss: 0.0658, p1: 47.99, p2: 38.67
2024/01/03 23:22:42 epoch: 2, lr: 0.000475, loss: 0.0635, p1: 47.86, p2: 38.24
2024/01/03 23:53:07 epoch: 3, lr: 0.000451, loss: 0.0618, p1: 47.68, p2: 38.27
2024/01/04 00:23:30 epoch: 4, lr: 0.000429, loss: 0.0606, p1: 47.41, p2: 38.16
2024/01/04 00:53:54 epoch: 5, lr: 0.000407, loss: 0.0595, p1: 47.87, p2: 38.28
2024/01/04 01:24:13 epoch: 6, lr: 0.000204, loss: 0.0574, p1: 47.72, p2: 38.27
2024/01/04 01:54:34 epoch: 7, lr: 0.000193, loss: 0.0569, p1: 47.69, p2: 38.33
2024/01/04 02:24:58 epoch: 8, lr: 0.000184, loss: 0.0564, p1: 47.73, p2: 38.27
2024/01/04 02:55:21 epoch: 9, lr: 0.000175, loss: 0.0560, p1: 47.48, p2: 38.25
2024/01/04 03:25:42 epoch: 10, lr: 0.000166, loss: 0.0557, p1: 47.45, p2: 38.14
2024/01/04 03:56:05 epoch: 11, lr: 0.000083, loss: 0.0548, p1: 47.55, p2: 38.18
2024/01/04 04:26:32 epoch: 12, lr: 0.000079, loss: 0.0546, p1: 47.63, p2: 38.28
2024/01/04 04:56:56 epoch: 13, lr: 0.000075, loss: 0.0544, p1: 47.73, p2: 38.32
2024/01/04 05:27:19 epoch: 14, lr: 0.000071, loss: 0.0543, p1: 47.71, p2: 38.27
2024/01/04 05:57:46 epoch: 15, lr: 0.000068, loss: 0.0541, p1: 47.76, p2: 38.26
2024/01/04 06:28:12 epoch: 16, lr: 0.000034, loss: 0.0538, p1: 47.72, p2: 38.30
2024/01/04 06:58:36 epoch: 17, lr: 0.000032, loss: 0.0537, p1: 47.63, p2: 38.23
2024/01/04 07:28:58 epoch: 18, lr: 0.000030, loss: 0.0536, p1: 47.71, p2: 38.30
2024/01/04 07:59:21 epoch: 19, lr: 0.000029, loss: 0.0535, p1: 47.67, p2: 38.22
2024/01/04 08:29:49 epoch: 20, lr: 0.000028, loss: 0.0535, p1: 47.77, p2: 38.35
